timestamp,time_dk,price_area,satisfied_demand,imbalance_price_eur,imbalance_price_dkk,spot_price_eur,dominating_direction,afrr_up,afrr_vwa_up_eur,afrr_vwa_up_dkk,afrr_down,afrr_vwa_down_eur,afrr_vwa_down_dkk,mfrr_marginal_up_eur,mfrr_marginal_up_dkk,mfrr_marginal_down_eur,mfrr_marginal_down_dkk,hour,day_of_week,month,quarter,is_weekend,is_peak_hour,imbalance_price,spot_price,price_regime,deviation,deviation_regime,volatility,volatility_regime,market_regime,price_regime_encoded,deviation_regime_encoded,volatility_regime_encoded,market_regime_encoded,lag_1_imbalance,lag_1_spot,lag_1_demand,lag_2_imbalance,lag_2_spot,lag_2_demand,lag_3_imbalance,lag_3_spot,lag_3_demand,lag_6_imbalance,lag_6_spot,lag_6_demand,lag_12_imbalance,lag_12_spot,lag_12_demand,lag_24_imbalance,lag_24_spot,lag_24_demand,rolling_mean_3,rolling_std_3,rolling_mean_6,rolling_std_6,rolling_mean_12,rolling_std_12,rolling_mean_24,rolling_std_24
2026-06-18 09:00:00,2026-06-18 11:00:00,DK2,-89.0,16.1,120.34,72.5,-1,3.95,164.73,1231.31,-0.24,39.84,297.79,72.5,541.92,16.1,120.34,9,3,6,2,0,1,16.1,72.5,Low,-56.4,Extreme_Negative,24.083439676812514,Low_Volatility,Normal,2,0,1,1,10.0,46.21,-59.0,71.62,71.62,0.0,9.8,84.44,-51.0,12.15,98.59,-163.0,92.64500000000001,121.62,-36.0,92.605,121.47,-36.0,32.57333333333333,33.95267490689552,29.103333333333335,24.083439676812514,34.95666666666667,30.110123134114136,34.95666666666667,30.110123134114136
2026-06-18 09:00:00,2026-06-18 11:00:00,DK1,-181.0,16.1,120.34,73.82,-1,0.21,86.54,646.86,-1.17,35.07,262.14,73.82,551.78,16.1,120.34,9,3,6,2,0,1,16.1,73.82,Low,-57.71999999999999,Extreme_Negative,39.5164573310918,Medium_Volatility,Normal,2,0,2,1,10.0,47.06,-118.0,16.1,72.94,-212.0,85.25,85.25,0.0,53.52,100.41,-183.0,92.64500000000001,121.62,-36.0,92.605,121.47,-36.0,14.066666666666668,3.5218366420557334,45.31,39.5164573310918,63.185,35.85210263898568,63.185,35.85210263898568
2026-06-18 09:15:00,2026-06-18 11:15:00,DK2,-89.0,18.93,141.5,57.54,-1,1.12,107.65,804.65,-2.9,28.49,212.95,57.54,430.09,18.93,141.5,9,3,6,2,0,1,18.93,57.54,Low,-38.61,Extreme_Negative,23.43146979313648,Low_Volatility,Normal,2,0,1,1,16.1,72.5,-89.0,10.0,46.21,-59.0,71.62,71.62,0.0,42.1,85.4,-141.0,-9.23,121.37,-71.0,92.605,121.47,-36.0,15.01,4.563693679466107,25.241666666666664,23.43146979313648,37.303333333333335,27.321528419023622,33.723846153846154,29.16891997156721
2026-06-18 09:15:00,2026-06-18 11:15:00,DK1,-203.0,18.93,141.5,58.6,-1,1.22,127.48,952.87,-2.12,36.69,274.25,58.6,438.02,18.93,141.5,9,3,6,2,0,1,18.93,58.6,Low,-39.67,Extreme_Negative,40.99726206305325,Medium_Volatility,Normal,2,0,2,1,16.1,73.82,-181.0,10.0,47.06,-118.0,16.1,72.94,-212.0,42.1,86.97,-183.0,95.5,123.6,-251.0,92.605,121.47,-36.0,15.01,4.563693679465479,41.44833333333333,40.99726206305325,56.80416666666667,36.38777428511178,59.78076923076923,36.45425980173384
2026-06-18 09:30:00,2026-06-18 11:30:00,DK2,-42.0,2.78,20.78,35.92,-1,1.21,85.65,640.21,-2.08,32.09,239.86,35.92,268.49,2.78,20.78,9,3,6,2,0,1,2.78,35.92,Low,-33.14,Extreme_Negative,25.16882549239569,Low_Volatility,Normal,2,0,1,1,18.93,57.54,-89.0,16.1,72.5,-89.0,10.0,46.21,-59.0,25.0,100.91,-123.0,25.59,115.35,-139.0,92.605,121.47,-36.0,12.603333333333333,8.624130874084193,21.53833333333333,25.16882549239569,35.402499999999996,28.95517762618003,31.513571428571428,29.219379661488333
2026-06-18 09:30:00,2026-06-18 11:30:00,DK1,-223.0,2.78,20.78,36.58,-1,2.02,56.33,421.05,-1.9,24.78,185.22,36.58,273.42,2.78,20.78,9,3,6,2,0,1,2.78,36.58,Low,-33.8,Extreme_Negative,30.146104889355076,Medium_Volatility,Normal,2,0,2,1,18.93,58.6,-203.0,16.1,73.82,-181.0,10.0,47.06,-118.0,102.31,102.31,0.0,75.6,117.47,-163.0,92.605,121.47,-36.0,12.603333333333333,8.624130874083848,24.86,30.146104889355076,50.735833333333325,38.9500875149754,55.70928571428571,38.19380406140921
2026-06-18 09:45:00,2026-06-18 11:45:00,DK2,0.0,25.52,190.75,25.52,0,4.24,111.27,831.71,-0.81,27.05,202.19,25.52,190.75,1.5,11.21,9,3,6,2,0,1,25.52,25.52,Low,0.0,Normal,24.512150796424763,Low_Volatility,Normal,2,5,1,1,2.78,35.92,-42.0,18.93,57.54,-89.0,16.1,72.5,-89.0,9.8,84.44,-51.0,67.0,101.77,-156.0,92.605,121.47,-36.0,15.743333333333334,11.700129628911478,24.158333333333335,24.512150796424763,31.94583333333333,27.26687082701222,31.113999999999997,28.198994358968605
2026-06-18 09:45:00,2026-06-18 11:45:00,DK1,-367.0,1.5,11.21,26.09,-1,3.63,72.18,539.52,-0.19,29.31,219.08,26.09,195.01,1.5,11.21,9,3,6,2,0,1,1.5,26.09,Low,-24.59,Extreme_Negative,7.398179280516532,Low_Volatility,Normal,2,0,1,1,2.78,36.58,-223.0,18.93,58.6,-203.0,16.1,73.82,-181.0,85.25,85.25,0.0,67.0,103.25,-224.0,92.605,121.47,-36.0,7.736666666666667,9.7148151466369,10.901666666666666,7.398179280516532,45.277499999999996,40.999252570792514,52.09533333333333,39.37612000523498
2026-06-18 10:00:00,2026-06-18 12:00:00,DK1,-290.0,5.85,43.73,41.63,-1,15.47,109.59,819.15,-0.23,27.08,202.41,41.63,311.17,5.85,43.73,10,3,6,2,0,0,5.85,41.63,Low,-35.78,Extreme_Negative,7.136547251063642,Low_Volatility,Normal,2,0,1,1,1.5,26.09,-367.0,2.78,36.58,-223.0,18.93,58.6,-203.0,16.1,72.94,-212.0,117.0,117.0,0.0,92.605,121.47,-36.0,3.3766666666666665,2.235538712106159,9.193333333333333,7.136547251063642,36.01499999999999,35.51083023017575,49.205,39.758998981362694
2026-06-18 10:00:00,2026-06-18 12:00:00,DK2,-43.0,5.85,43.73,40.98,-1,4.5,137.83,1030.24,-1.29,33.79,252.57,40.98,306.31,5.85,43.73,10,3,6,2,0,0,5.85,40.98,Low,-35.129999999999995,Extreme_Negative,8.554111681914563,Low_Volatility,Normal,2,0,1,1,25.52,25.52,0.0,2.78,35.92,-42.0,18.93,57.54,-89.0,71.62,71.62,0.0,66.77,114.89,-108.0,92.605,121.47,-36.0,11.383333333333333,12.33856690760042,13.196666666666667,8.554111681914563,26.86916666666667,25.82687833821521,29.535,27.965387892893606
