id,time_utc,time_dk,price_area,afrr_activated_mw,afrr_price_eur,created_at
552998734042265,2026-08-28 21:42:04.540,2026-08-28 23:42:04.540,DK1,-29.95,51.92,2026-08-29 14:29:42.038366
74511777975711,2026-08-28 21:41:57.538,2026-08-28 23:41:57.538,DK1,-31.44,46.83,2026-08-29 14:29:42.038366
912359069443971,2026-08-28 21:41:54.540,2026-08-28 23:41:54.540,DK1,-30.85,46.83,2026-08-29 14:29:42.038366
82503084026924,2026-08-28 21:41:46.538,2026-08-28 23:41:46.538,DK1,-28.68,92.32,2026-08-29 14:29:42.038366
138516358573410,2026-08-28 21:41:35.538,2026-08-28 23:41:35.538,DK1,-26.77,92.32,2026-08-29 14:29:42.038366
850955995300212,2026-08-28 21:41:32.539,2026-08-28 23:41:32.539,DK1,-26.28,92.32,2026-08-29 14:29:42.038366
28356376956293,2026-08-28 21:41:21.538,2026-08-28 23:41:21.538,DK1,-25.82,92.32,2026-08-29 14:29:42.038366
346491903659438,2026-08-28 21:41:08.545,2026-08-28 23:41:08.545,DK1,-26.83,92.32,2026-08-29 14:29:42.038366
680361179788919,2026-08-28 21:40:47.546,2026-08-28 23:40:47.546,DK1,-25.37,92.32,2026-08-29 14:29:42.038366
96783104148132,2026-08-28 21:40:46.538,2026-08-28 23:40:46.538,DK1,-26.6,92.32,2026-08-29 14:29:42.038366
176737258725879,2026-08-28 21:40:31.540,2026-08-28 23:40:31.540,DK1,-22.41,101.19,2026-08-29 14:29:42.038366
221576969595650,2026-08-28 21:40:26.542,2026-08-28 23:40:26.542,DK1,-22.08,111.82,2026-08-29 14:29:42.038366
529712163423238,2026-08-28 21:39:48.538,2026-08-28 23:39:48.538,DK1,-11.79,103.6,2026-08-29 14:29:42.038366
769145648673988,2026-08-28 21:39:15.539,2026-08-28 23:39:15.539,DK1,-6.59,112.21,2026-08-29 14:29:42.038366
666836235064506,2026-08-28 21:39:10.540,2026-08-28 23:39:10.540,DK1,-6.75,111.44,2026-08-29 14:29:42.038366
700212902951783,2026-08-28 21:39:05.541,2026-08-28 23:39:05.541,DK1,-4.43,111.44,2026-08-29 14:29:42.038366
960723838246260,2026-08-28 21:38:42.547,2026-08-28 23:38:42.547,DK1,-0.18,112.21,2026-08-29 14:29:42.038366
791343520122635,2026-08-28 21:38:27.541,2026-08-28 23:38:27.541,DK1,4.69,112.75,2026-08-29 14:29:42.038366
272388801496715,2026-08-28 21:38:24.538,2026-08-28 23:38:24.538,DK1,4.95,112.75,2026-08-29 14:29:42.038366
172505878814096,2026-08-28 21:38:12.545,2026-08-28 23:38:12.545,DK1,4.78,112.75,2026-08-29 14:29:42.038366
338063780260797,2026-08-28 21:37:43.536,2026-08-28 23:37:43.536,DK1,4.65,112.75,2026-08-29 14:29:42.038366
428342221541612,2026-08-28 21:37:41.535,2026-08-28 23:37:41.535,DK1,4.7,112.75,2026-08-29 14:29:42.038366
432332547184640,2026-08-28 21:37:36.534,2026-08-28 23:37:36.534,DK1,4.59,112.75,2026-08-29 14:29:42.038366
761445088631983,2026-08-28 21:37:06.535,2026-08-28 23:37:06.535,DK1,3.87,112.75,2026-08-29 14:29:42.038366
396519621826949,2026-08-28 21:36:51.543,2026-08-28 23:36:51.543,DK1,3.73,112.75,2026-08-29 14:29:42.038366
846772295610444,2026-08-28 21:36:45.535,2026-08-28 23:36:45.535,DK1,4.36,112.75,2026-08-29 14:29:42.038366
527807867052959,2026-08-28 21:36:18.534,2026-08-28 23:36:18.534,DK1,4.41,112.75,2026-08-29 14:29:42.038366
759293017294327,2026-08-28 21:36:17.537,2026-08-28 23:36:17.537,DK1,4.38,112.75,2026-08-29 14:29:42.038366
829006551998936,2026-08-28 21:36:11.536,2026-08-28 23:36:11.536,DK1,4.0,112.75,2026-08-29 14:29:42.038366
845032580838167,2026-08-28 21:35:51.544,2026-08-28 23:35:51.544,DK1,3.27,112.75,2026-08-29 14:29:42.038366
591943439021834,2026-08-28 21:35:24.538,2026-08-28 23:35:24.538,DK1,2.61,112.75,2026-08-29 14:29:42.038366
34673196224185,2026-08-28 21:35:10.543,2026-08-28 23:35:10.543,DK1,5.77,112.75,2026-08-29 14:29:42.038366
918927756923309,2026-08-28 21:34:50.538,2026-08-28 23:34:50.538,DK1,12.53,112.75,2026-08-29 14:29:42.038366
776259119699061,2026-08-28 21:34:40.539,2026-08-28 23:34:40.539,DK1,15.04,112.75,2026-08-29 14:29:42.038366
717964802721252,2026-08-28 21:34:09.539,2026-08-28 23:34:09.539,DK1,9.98,112.75,2026-08-29 14:29:42.038366
98271357145926,2026-08-28 21:34:03.539,2026-08-28 23:34:03.539,DK1,9.8,112.75,2026-08-29 14:29:42.038366
336558458508029,2026-08-28 21:33:21.541,2026-08-28 23:33:21.541,DK1,16.48,133.05,2026-08-29 14:29:42.038366
41935222489415,2026-08-28 21:33:18.539,2026-08-28 23:33:18.539,DK1,13.4,112.75,2026-08-29 14:29:42.038366
266699133678442,2026-08-28 21:32:49.539,2026-08-28 23:32:49.539,DK1,17.23,112.75,2026-08-29 14:29:42.038366
188283691482901,2026-08-28 21:32:37.545,2026-08-28 23:32:37.545,DK1,15.73,112.75,2026-08-29 14:29:42.038366
494592893751697,2026-08-28 21:32:27.541,2026-08-28 23:32:27.541,DK1,16.78,112.75,2026-08-29 14:29:42.038366
819741655163299,2026-08-28 21:32:06.542,2026-08-28 23:32:06.542,DK1,20.63,114.14,2026-08-29 14:29:42.038366
191601284998529,2026-08-28 21:31:40.542,2026-08-28 23:31:40.542,DK1,29.39,133.05,2026-08-29 14:29:42.038366
19160952611937,2026-08-28 21:31:39.538,2026-08-28 23:31:39.538,DK1,29.19,128.0,2026-08-29 14:29:42.038366
647164694867291,2026-08-28 21:31:33.540,2026-08-28 23:31:33.540,DK1,27.51,148.27,2026-08-29 14:29:42.038366
709863778133210,2026-08-28 21:31:30.543,2026-08-28 23:31:30.543,DK1,26.9,148.27,2026-08-29 14:29:42.038366
920615849037726,2026-08-28 21:31:13.540,2026-08-28 23:31:13.540,DK1,22.9,148.27,2026-08-29 14:29:42.038366
397227051882484,2026-08-28 21:30:48.537,2026-08-28 23:30:48.537,DK1,19.16,132.3,2026-08-29 14:29:42.038366
268047894905436,2026-08-28 21:30:17.536,2026-08-28 23:30:17.536,DK1,0.61,112.75,2026-08-29 14:29:42.038366
438374431336527,2026-08-28 21:30:01.535,2026-08-28 23:30:01.535,DK1,0.25,112.75,2026-08-29 14:29:42.038366
999941143498810,2026-08-28 21:29:56.535,2026-08-28 23:29:56.535,DK1,0.14,116.56,2026-08-29 14:29:42.038366
305456484305106,2026-08-28 21:29:01.534,2026-08-28 23:29:01.534,DK1,4.95,116.9,2026-08-29 14:29:42.038366
703552950644994,2026-08-28 21:28:49.534,2026-08-28 23:28:49.534,DK1,5.33,116.9,2026-08-29 14:29:42.038366
931155380936131,2026-08-28 21:28:37.534,2026-08-28 23:28:37.534,DK1,1.83,116.56,2026-08-29 14:29:42.038366
454964502368312,2026-08-28 21:28:16.540,2026-08-28 23:28:16.540,DK1,2.01,116.9,2026-08-29 14:29:42.038366
412660699563333,2026-08-28 21:28:02.534,2026-08-28 23:28:02.534,DK1,3.24,116.9,2026-08-29 14:29:42.038366
127919128379561,2026-08-28 21:27:33.535,2026-08-28 23:27:33.535,DK1,-0.29,112.21,2026-08-29 14:29:42.038366
390277935535230,2026-08-28 21:27:14.534,2026-08-28 23:27:14.534,DK1,2.4,116.9,2026-08-29 14:29:42.038366
810712151783152,2026-08-28 21:26:51.535,2026-08-28 23:26:51.535,DK1,-0.64,112.21,2026-08-29 14:29:42.038366
697169681816715,2026-08-28 21:26:44.535,2026-08-28 23:26:44.535,DK1,-0.78,112.21,2026-08-29 14:29:42.038366
740238669458203,2026-08-28 21:25:33.537,2026-08-28 23:25:33.537,DK1,1.0,116.56,2026-08-29 14:29:42.038366
56369025173639,2026-08-28 21:25:08.536,2026-08-28 23:25:08.536,DK1,1.51,116.56,2026-08-29 14:29:42.038366
143314982471441,2026-08-28 21:24:52.534,2026-08-28 23:24:52.534,DK1,1.9,116.56,2026-08-29 14:29:42.038366
999455841547320,2026-08-28 21:24:42.532,2026-08-28 23:24:42.532,DK1,1.61,116.56,2026-08-29 14:29:42.038366
140014630540517,2026-08-28 21:24:26.533,2026-08-28 23:24:26.533,DK1,0.95,116.56,2026-08-29 14:29:42.038366
225701806324725,2026-08-28 21:23:55.531,2026-08-28 23:23:55.531,DK1,-0.14,112.21,2026-08-29 14:29:42.038366
73306531984316,2026-08-28 21:23:53.533,2026-08-28 23:23:53.533,DK1,-0.3,112.21,2026-08-29 14:29:42.038366
613448483676336,2026-08-28 21:23:35.531,2026-08-28 23:23:35.531,DK1,2.27,116.9,2026-08-29 14:29:42.038366
181738975218846,2026-08-28 21:23:29.532,2026-08-28 23:23:29.532,DK1,2.27,116.9,2026-08-29 14:29:42.038366
733817673846177,2026-08-28 21:23:20.532,2026-08-28 23:23:20.532,DK1,1.13,116.56,2026-08-29 14:29:42.038366
4348075943747,2026-08-28 21:22:54.535,2026-08-28 23:22:54.535,DK1,3.2,116.9,2026-08-29 14:29:42.038366
404665419338448,2026-08-28 21:22:48.536,2026-08-28 23:22:48.536,DK1,4.06,116.9,2026-08-29 14:29:42.038366
593348580930880,2026-08-28 21:22:38.534,2026-08-28 23:22:38.534,DK1,3.65,116.9,2026-08-29 14:29:42.038366
187094439589562,2026-08-28 21:22:24.535,2026-08-28 23:22:24.535,DK1,1.2,116.56,2026-08-29 14:29:42.038366
836828017960308,2026-08-28 21:22:20.535,2026-08-28 23:22:20.535,DK1,1.66,116.56,2026-08-29 14:29:42.038366
606234079120792,2026-08-28 21:22:17.535,2026-08-28 23:22:17.535,DK1,1.79,116.56,2026-08-29 14:29:42.038366
335623447618988,2026-08-28 21:22:11.535,2026-08-28 23:22:11.535,DK1,2.98,116.9,2026-08-29 14:29:42.038366
80195123138062,2026-08-28 21:21:59.534,2026-08-28 23:21:59.534,DK1,4.87,116.9,2026-08-29 14:29:42.038366
789942349801968,2026-08-28 21:21:57.534,2026-08-28 23:21:57.534,DK1,4.09,116.9,2026-08-29 14:29:42.038366
460807520726011,2026-08-28 21:21:42.534,2026-08-28 23:21:42.534,DK1,2.85,116.9,2026-08-29 14:29:42.038366
703348064583500,2026-08-28 21:21:12.534,2026-08-28 23:21:12.534,DK1,4.63,116.9,2026-08-29 14:29:42.038366
81522417341181,2026-08-28 21:21:04.534,2026-08-28 23:21:04.534,DK1,4.17,116.9,2026-08-29 14:29:42.038366
933604076802018,2026-08-28 21:20:48.535,2026-08-28 23:20:48.535,DK1,2.05,116.9,2026-08-29 14:29:42.038366
976816649441660,2026-08-28 21:20:47.537,2026-08-28 23:20:47.537,DK1,3.85,116.9,2026-08-29 14:29:42.038366
83505856068946,2026-08-28 21:20:40.535,2026-08-28 23:20:40.535,DK1,1.78,116.56,2026-08-29 14:29:42.038366
795031516207550,2026-08-28 21:20:28.534,2026-08-28 23:20:28.534,DK1,0.9,116.56,2026-08-29 14:29:42.038366
140822067592185,2026-08-28 21:20:20.536,2026-08-28 23:20:20.536,DK1,2.77,116.9,2026-08-29 14:29:42.038366
273479112358918,2026-08-28 21:19:55.535,2026-08-28 23:19:55.535,DK1,-1.14,112.21,2026-08-29 14:29:42.038366
761989875347713,2026-08-28 21:19:40.535,2026-08-28 23:19:40.535,DK1,-1.88,112.21,2026-08-29 14:29:42.038366
402652572223932,2026-08-28 21:19:19.570,2026-08-28 23:19:19.570,DK1,-1.47,112.21,2026-08-29 14:29:42.038366
891448582336610,2026-08-28 21:18:56.537,2026-08-28 23:18:56.537,DK1,0.03,116.56,2026-08-29 14:29:42.038366
666938096855548,2026-08-28 21:18:41.534,2026-08-28 23:18:41.534,DK1,0.31,123.7,2026-08-29 14:29:42.038366
90721317625552,2026-08-28 21:18:38.542,2026-08-28 23:18:38.542,DK1,0.26,116.56,2026-08-29 14:29:42.038366
220959480375797,2026-08-28 21:18:26.538,2026-08-28 23:18:26.538,DK1,-0.38,112.21,2026-08-29 14:29:42.038366
588874001967675,2026-08-28 21:18:16.544,2026-08-28 23:18:16.544,DK1,1.17,116.56,2026-08-29 14:29:42.038366
655199391619937,2026-08-28 21:17:50.531,2026-08-28 23:17:50.531,DK1,3.44,116.9,2026-08-29 14:29:42.038366
866013373307445,2026-08-28 21:17:48.532,2026-08-28 23:17:48.532,DK1,3.37,116.9,2026-08-29 14:29:42.038366
731674521228586,2026-08-28 21:17:46.532,2026-08-28 23:17:46.532,DK1,1.79,116.56,2026-08-29 14:29:42.038366
870830397306327,2026-08-28 21:17:37.531,2026-08-28 23:17:37.531,DK1,-0.27,112.21,2026-08-29 14:29:42.038366
826167826260330,2026-08-28 21:17:27.530,2026-08-28 23:17:27.530,DK1,0.63,116.56,2026-08-29 14:29:42.038366
658343029745040,2026-08-28 21:16:07.538,2026-08-28 23:16:07.538,DK1,8.64,116.9,2026-08-29 14:29:42.038366
459304508413078,2026-08-28 21:16:02.534,2026-08-28 23:16:02.534,DK1,9.51,116.9,2026-08-29 14:29:42.038366
968344663631552,2026-08-28 21:15:58.533,2026-08-28 23:15:58.533,DK1,9.97,116.9,2026-08-29 14:29:42.038366
121405612716349,2026-08-28 21:15:41.534,2026-08-28 23:15:41.534,DK1,13.62,116.9,2026-08-29 14:29:42.038366
398609959943840,2026-08-28 21:15:36.533,2026-08-28 23:15:36.533,DK1,14.61,122.63,2026-08-29 14:29:42.038366
230828440504274,2026-08-28 21:15:22.535,2026-08-28 23:15:22.535,DK1,13.75,135.0,2026-08-29 14:29:42.038366
48206265550626,2026-08-28 21:15:20.538,2026-08-28 23:15:20.538,DK1,14.06,133.79,2026-08-29 14:29:42.038366
608651862328425,2026-08-28 21:15:13.534,2026-08-28 23:15:13.534,DK1,12.08,148.3,2026-08-29 14:29:42.038366
153890228081192,2026-08-28 21:15:08.534,2026-08-28 23:15:08.534,DK1,12.14,126.92,2026-08-29 14:29:42.038366
664741524242379,2026-08-28 21:14:54.535,2026-08-28 23:14:54.535,DK1,14.08,123.56,2026-08-29 14:29:42.038366
912203833308836,2026-08-28 21:14:53.534,2026-08-28 23:14:53.534,DK1,14.48,123.56,2026-08-29 14:29:42.038366
633879472250361,2026-08-28 21:13:54.535,2026-08-28 23:13:54.535,DK1,18.81,185.39,2026-08-29 14:29:42.038366
379989075993777,2026-08-28 21:13:43.535,2026-08-28 23:13:43.535,DK1,18.38,185.34,2026-08-29 14:29:42.038366
352060964330821,2026-08-28 21:13:32.536,2026-08-28 23:13:32.536,DK1,15.91,185.32,2026-08-29 14:29:42.038366
839777677872014,2026-08-28 21:13:29.534,2026-08-28 23:13:29.534,DK1,13.85,184.34,2026-08-29 14:29:42.038366
774481441887760,2026-08-28 21:13:19.553,2026-08-28 23:13:19.553,DK1,15.25,118.66,2026-08-29 14:29:42.038366
265156908048881,2026-08-28 21:12:42.534,2026-08-28 23:12:42.534,DK1,5.17,118.66,2026-08-29 14:29:42.038366
606110394131606,2026-08-28 21:12:25.534,2026-08-28 23:12:25.534,DK1,3.98,118.66,2026-08-29 14:29:42.038366
554000651719923,2026-08-28 21:12:19.537,2026-08-28 23:12:19.537,DK1,3.71,118.66,2026-08-29 14:29:42.038366
32226104287317,2026-08-28 21:12:15.547,2026-08-28 23:12:15.547,DK1,3.27,118.66,2026-08-29 14:29:42.038366
58108120853210,2026-08-28 21:12:08.536,2026-08-28 23:12:08.536,DK1,4.02,118.66,2026-08-29 14:29:42.038366
201854532587316,2026-08-28 21:11:59.537,2026-08-28 23:11:59.537,DK1,5.58,118.66,2026-08-29 14:29:42.038366
303774980226016,2026-08-28 21:11:42.534,2026-08-28 23:11:42.534,DK1,8.17,118.66,2026-08-29 14:29:42.038366
64612235118022,2026-08-28 21:11:31.545,2026-08-28 23:11:31.545,DK1,9.91,118.66,2026-08-29 14:29:42.038366
182090489077608,2026-08-28 21:11:29.537,2026-08-28 23:11:29.537,DK1,10.27,118.66,2026-08-29 14:29:42.038366
390794510371717,2026-08-28 21:11:27.538,2026-08-28 23:11:27.538,DK1,10.82,118.66,2026-08-29 14:29:42.038366
103465850607994,2026-08-28 21:11:13.532,2026-08-28 23:11:13.532,DK1,13.02,118.66,2026-08-29 14:29:42.038366
34217635395416,2026-08-28 21:11:11.533,2026-08-28 23:11:11.533,DK1,14.41,118.66,2026-08-29 14:29:42.038366
865040842050279,2026-08-28 21:10:58.531,2026-08-28 23:10:58.531,DK1,18.04,118.66,2026-08-29 14:29:42.038366
834900334093398,2026-08-28 21:10:56.534,2026-08-28 23:10:56.534,DK1,20.01,118.69,2026-08-29 14:29:42.038366
708339737872807,2026-08-28 21:10:38.530,2026-08-28 23:10:38.530,DK1,26.63,200.0,2026-08-29 14:29:42.038366
746653523977606,2026-08-28 21:10:34.532,2026-08-28 23:10:34.532,DK1,27.57,219.0,2026-08-29 14:29:42.038366
643973128477319,2026-08-28 21:09:54.530,2026-08-28 23:09:54.530,DK1,35.4,229.8,2026-08-29 14:29:42.038366
457606784379217,2026-08-28 21:08:40.535,2026-08-28 23:08:40.535,DK1,38.47,240.82,2026-08-29 14:29:42.038366
408663126139593,2026-08-28 21:08:35.534,2026-08-28 23:08:35.534,DK1,38.39,240.82,2026-08-29 14:29:42.038366
586457246120744,2026-08-28 21:08:30.535,2026-08-28 23:08:30.535,DK1,37.05,229.8,2026-08-29 14:29:42.038366
460045923238069,2026-08-28 21:08:23.534,2026-08-28 23:08:23.534,DK1,37.02,229.8,2026-08-29 14:29:42.038366
419455948517957,2026-08-28 21:08:16.535,2026-08-28 23:08:16.535,DK1,36.96,229.8,2026-08-29 14:29:42.038366
563053863659522,2026-08-28 21:08:10.535,2026-08-28 23:08:10.535,DK1,34.9,219.87,2026-08-29 14:29:42.038366
711300645735429,2026-08-28 21:08:08.535,2026-08-28 23:08:08.535,DK1,34.98,219.87,2026-08-29 14:29:42.038366
864014401915050,2026-08-28 21:07:28.533,2026-08-28 23:07:28.533,DK1,46.21,240.9,2026-08-29 14:29:42.038366
737348534202275,2026-08-28 21:07:09.570,2026-08-28 23:07:09.570,DK1,53.11,240.9,2026-08-29 14:29:42.038366
444089749943013,2026-08-28 21:07:04.535,2026-08-28 23:07:04.535,DK1,57.82,240.9,2026-08-29 14:29:42.038366
419465041788241,2026-08-28 21:06:13.538,2026-08-28 23:06:13.538,DK1,78.42,254.8,2026-08-29 14:29:42.038366
504702444431922,2026-08-28 21:04:48.535,2026-08-28 23:04:48.535,DK1,73.98,240.9,2026-08-29 14:29:42.038366
434321790611773,2026-08-28 21:04:38.537,2026-08-28 23:04:38.537,DK1,68.76,240.9,2026-08-29 14:29:42.038366
622450759644550,2026-08-28 21:04:34.539,2026-08-28 23:04:34.539,DK1,67.75,240.9,2026-08-29 14:29:42.038366
767312287762466,2026-08-28 21:04:10.533,2026-08-28 23:04:10.533,DK1,64.96,240.9,2026-08-29 14:29:42.038366
451530221250992,2026-08-28 21:04:02.531,2026-08-28 23:04:02.531,DK1,61.33,240.9,2026-08-29 14:29:42.038366
