quarter_utc,batch_start_utc,deadline_utc,as_of_trade,label_known_at,spread,exp_spread,p_up,p_down,p_flat,q10,q50,q90,prov_exp_spread,prov_p_up,last_spread,spread_qod_mean7,action,mwh,edge,reason,gross_eur,cost_eur,net_eur,area,book
2025-12-23 02:45:00,2025-12-23 01:00:00,2025-12-22 22:45:00,2025-12-22 22:30:00,2025-12-23 03:45:00,-46.290000915527344,208.97974225805598,0.45061533228256245,0.5150830218264411,0.034301645890996504,-44.23058263188082,17.464912811704682,234.41165118673848,233.0885084404553,0.46404632484875225,-56.96000099182129,-19.408571652003697,HOLD,0.0,0.0,model has no validated edge,0.0,0.0,0.0,DK1,replay:DK1:a9b2a9a1
2025-12-23 03:00:00,2025-12-23 03:00:00,2025-12-23 00:45:00,2025-12-23 00:30:00,2025-12-23 04:00:00,-25.87999725341797,166.3268103780151,0.38166474632073716,0.5488747547537958,0.06946049892546702,-48.068570646230185,22.322224123586672,249.43307287872727,206.1684370930039,0.4342366936906024,-22.169998168945312,-12.091428688594274,HOLD,0.0,0.0,model has no validated edge,0.0,0.0,0.0,DK1,replay:DK1:a9b2a9a1
2025-12-23 03:15:00,2025-12-23 03:00:00,2025-12-23 00:45:00,2025-12-23 00:30:00,2025-12-23 04:15:00,-27.739999771118164,163.9299986701621,0.3535328187181491,0.5887593314642172,0.057707849817633515,-46.90146848709007,21.94191706761928,235.12876656174802,206.09171224623296,0.39769070740328805,-22.169998168945312,-6.79142815726144,HOLD,0.0,0.0,model has no validated edge,0.0,0.0,0.0,DK1,replay:DK1:a9b2a9a1
2025-12-23 03:30:00,2025-12-23 03:00:00,2025-12-23 00:45:00,2025-12-23 00:30:00,2025-12-23 04:30:00,0.0,144.920764224597,0.3034826767015346,0.5922581921990433,0.10425913109942213,-48.77790143917555,15.04905932358508,281.7334902321257,190.18839312637277,0.3559652489412164,-22.169998168945312,-7.3399995395115445,HOLD,0.0,0.0,model has no validated edge,0.0,0.0,0.0,DK1,replay:DK1:a9b2a9a1
2025-12-23 03:45:00,2025-12-23 03:00:00,2025-12-23 00:45:00,2025-12-23 00:30:00,2025-12-23 04:45:00,-13.890003204345703,97.06025772260486,0.4191252283997193,0.4893036873768006,0.09157108422348002,-45.92531123173833,18.997400772265372,230.58532547975713,122.5966462664714,0.46158628234548843,-22.169998168945312,-0.7614290714263916,HOLD,0.0,0.0,model has no validated edge,0.0,0.0,0.0,DK1,replay:DK1:a9b2a9a1
2025-12-23 04:00:00,2025-12-23 03:00:00,2025-12-23 00:45:00,2025-12-23 00:30:00,2025-12-23 05:00:00,-5.25,103.44881384290412,0.41276570784900496,0.5071860939605988,0.08004819819039617,-49.25297839349091,15.517369460814539,253.35476074061032,127.9730362925834,0.46079092045960435,-22.169998168945312,4.511428049632481,HOLD,0.0,0.0,model has no validated edge,0.0,0.0,0.0,DK1,replay:DK1:a9b2a9a1
2025-12-23 04:15:00,2025-12-23 03:00:00,2025-12-23 00:45:00,2025-12-23 00:30:00,2025-12-23 05:15:00,-7.149997711181641,67.17667198004932,0.34818052310202624,0.5892029133462479,0.06261656355172593,-49.80723266859353,16.37078566634191,249.71438212030796,90.82537596999862,0.3963912510883085,-22.169998168945312,7.70428500856672,HOLD,0.0,0.0,model has no validated edge,0.0,0.0,0.0,DK1,replay:DK1:a9b2a9a1
2025-12-23 04:30:00,2025-12-23 03:00:00,2025-12-23 00:45:00,2025-12-23 00:30:00,2025-12-23 05:30:00,-22.76000213623047,84.36400020175628,0.42069010617274555,0.48986201900317083,0.08944787482408365,-48.71170442210931,12.056645513922561,259.95673650507393,111.88488305762871,0.4682374283875316,-22.169998168945312,23.07571588243757,HOLD,0.0,0.0,model has no validated edge,0.0,0.0,0.0,DK1,replay:DK1:a9b2a9a1
2025-12-23 04:45:00,2025-12-23 03:00:00,2025-12-23 00:45:00,2025-12-23 00:30:00,2025-12-23 05:45:00,-40.92999839782715,68.43432015567706,0.3674168182084558,0.5150168155333258,0.11756636625821844,-53.26556849840185,6.920780556503356,302.0052219603092,89.53022281675241,0.4071426568125121,-22.169998168945312,8.55142879486084,HOLD,0.0,0.0,model has no validated edge,0.0,0.0,0.0,DK1,replay:DK1:a9b2a9a1
2025-12-23 05:00:00,2025-12-23 05:00:00,2025-12-23 02:45:00,2025-12-23 02:30:00,2025-12-23 06:00:00,-55.230000495910645,69.46532582638817,0.24641994452751154,0.6272966446889432,0.1262834107835452,-64.47455187278038,-0.27540194127197143,381.16962187640183,51.15409991615072,0.21490260022235844,4.009998321533203,-22.51999936785017,HOLD,0.0,0.0,model has no validated edge,0.0,0.0,0.0,DK1,replay:DK1:a9b2a9a1
2025-12-23 05:15:00,2025-12-23 05:00:00,2025-12-23 02:45:00,2025-12-23 02:30:00,2025-12-23 06:15:00,-35.28999710083008,41.05589767706806,0.2717084438357631,0.6191572577394673,0.10913429842476968,-62.755863235846675,2.896216362139969,358.9633382568196,22.691214018848648,0.22550868229737311,4.009998321533203,3.051429178033556,HOLD,0.0,0.0,model has no validated edge,0.0,0.0,0.0,DK1,replay:DK1:a9b2a9a1
2025-12-23 05:30:00,2025-12-23 05:00:00,2025-12-23 02:45:00,2025-12-23 02:30:00,2025-12-23 06:30:00,-37.68000030517578,148.1417281853873,0.23887841920488045,0.6023786536406269,0.1587429271544927,-64.56496348920385,26.702438754036734,454.5664464989523,130.10343077525482,0.2090553625549718,4.009998321533203,13.068574156079974,HOLD,0.0,0.0,model has no validated edge,0.0,0.0,0.0,DK1,replay:DK1:a9b2a9a1
2025-12-23 05:45:00,2025-12-23 05:00:00,2025-12-23 02:45:00,2025-12-23 02:30:00,2025-12-23 06:45:00,-51.0,114.2700319306881,0.25033179424021046,0.48185554199077657,0.26781266376901297,-68.58668796725846,19.542546071279233,392.1781022529783,115.28427279648479,0.2522328696712903,4.009998321533203,11.97285624912807,HOLD,0.0,0.0,model has no validated edge,0.0,0.0,0.0,DK1,replay:DK1:a9b2a9a1
2025-12-23 06:00:00,2025-12-23 05:00:00,2025-12-23 02:45:00,2025-12-23 02:30:00,2025-12-23 07:00:00,-68.30000185966492,126.53917184309324,0.24408046238672101,0.6354573349118587,0.12046220270142026,-66.50103095279474,28.591203276524016,321.87906614853955,126.98928206790539,0.2437306972365905,4.009998321533203,125.40571321759906,HOLD,0.0,0.0,model has no validated edge,0.0,0.0,0.0,DK1,replay:DK1:a9b2a9a1
2025-12-23 06:15:00,2025-12-23 05:00:00,2025-12-23 02:45:00,2025-12-23 02:30:00,2025-12-23 07:15:00,-67.85000324249268,96.75604060082969,0.22455010938719366,0.43831530531529217,0.33713458529751417,-69.82149545886769,10.16818048659924,369.601279216491,93.01552417661178,0.21521470975661847,4.009998321533203,1.3428565434047155,HOLD,0.0,0.0,model has no validated edge,0.0,0.0,0.0,DK1,replay:DK1:a9b2a9a1
2025-12-23 06:30:00,2025-12-23 05:00:00,2025-12-23 02:45:00,2025-12-23 02:30:00,2025-12-23 07:30:00,0.0,91.88829768735148,0.26198951901862966,0.40984488893200177,0.3281655920493685,-73.44592583011442,-14.763087938375715,132.20793060143856,86.8286225386467,0.24576776889898483,4.009998321533203,6.827144077845982,HOLD,0.0,0.0,model has no validated edge,0.0,0.0,0.0,DK1,replay:DK1:a9b2a9a1
2025-12-23 06:45:00,2025-12-23 05:00:00,2025-12-23 02:45:00,2025-12-23 02:30:00,2025-12-23 07:45:00,-77.42000007629395,44.41107464004862,0.19692093090810922,0.5077073032106222,0.2953717658812687,-74.48877975942389,-17.149223929346583,110.11311569256667,39.16977612359151,0.1882137346334985,4.009998321533203,-11.452856881277901,HOLD,0.0,0.0,model has no validated edge,0.0,0.0,0.0,DK1,replay:DK1:a9b2a9a1
2025-12-23 07:00:00,2025-12-23 07:00:00,2025-12-23 04:45:00,2025-12-23 04:30:00,2025-12-23 08:00:00,-17.569995880126953,74.74528396743864,0.23645295565043473,0.6019876715772714,0.1615593727722939,-74.64020439098871,-14.951226934836033,184.0429392275467,88.15196607392427,0.26569261276555306,0.0,-17.762857573372976,HOLD,0.0,0.0,model has no validated edge,0.0,0.0,0.0,DK1,replay:DK1:a9b2a9a1
2025-12-23 07:15:00,2025-12-23 07:00:00,2025-12-23 04:45:00,2025-12-23 04:30:00,2025-12-23 08:15:00,-19.300003051757812,15.125161003638667,0.20766363954695138,0.5746966622445795,0.21763969820846912,-77.42345758981747,-26.49251542273435,117.81551279996253,24.663793092374725,0.22588115004091897,0.0,3.52571473802839,HOLD,0.0,0.0,model has no validated edge,0.0,0.0,0.0,DK1,replay:DK1:a9b2a9a1
